Shaking effect,Line,Tet,Sex,Days post eclosion,Fluorescence
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,Red
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
0,OP/IE2,0,NA,8,None
1,HR5/IE1,0,Female,2,Green+Red
1,HR5/IE1,0,Female,2,Green+Red
1,HR5/IE1,0,Female,3,Green+Red
1,HR5/IE1,0,Female,3,Green+Red
1,HR5/IE1,0,Female,3,Green+Red
1,HR5/IE1,0,Female,3,Green+Red
1,HR5/IE1,0,Female,3,Green+Red
1,HR5/IE1,0,Female,3,Green+Red
1,HR5/IE1,0,Female,3,Green+Red
1,HR5/IE1,0,Female,3,Green+Red
1,HR5/IE1,0,Female,3,Green+Red
1,HR5/IE1,0,Female,3,Green+Red
1,HR5/IE1,0,Female,3,Green+Red
1,HR5/IE1,0,Female,3,Green+Red
1,HR5/IE1,0,Female,3,Green+Red
1,HR5/IE1,0,Female,3,Green+Red
1,HR5/IE1,0,Female,3,Green+Red
1,HR5/IE1,0,Female,3,Green+Red
1,HR5/IE1,0,Female,3,Green+Red
1,HR5/IE1,0,Female,3,Green+Red
1,HR5/IE1,0,Female,3,Green+Red
1,HR5/IE1,0,Female,3,Green+Red
1,HR5/IE1,0,Female,3,Green+Red
1,HR5/IE1,0,Female,3,Green+Red
1,HR5/IE1,0,Male,3,Green+Red
1,HR5/IE1,0,Male,3,Green+Red
1,HR5/IE1,0,Male,3,Green+Red
1,HR5/IE1,0,Male,3,Green+Red
1,HR5/IE1,0,Male,3,Green+Red
1,HR5/IE1,0,Male,3,Green+Red
1,HR5/IE1,0,Male,3,Green+Red
1,HR5/IE1,0,Male,3,Green+Red
1,HR5/IE1,0,Male,3,Green+Red
1,HR5/IE1,0,Male,3,Green+Red
1,HR5/IE1,0,Male,3,Green+Red
1,HR5/IE1,0,Male,3,Green+Red
1,HR5/IE1,0,Male,3,Green+Red
1,HR5/IE1,0,Male,3,Green+Red
1,HR5/IE1,0,Male,3,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Female,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
1,HR5/IE1,0,Male,4,Green+Red
